States/UTs,Total GFR,Rural GFR,Urban GFR
Andhra Pradesh,60.7,63.6,54.4
Assam,82.8,88.8,51.3
Bihar,114.4,118.2,83.8
Chhattisgarh,91.9,99.1,62.3
Delhi,63.3,70.9,62.1
Gujarat,79.7,87,68.7
Haryana,80.7,85.7,69.9
Himachal Pradesh,57.3,59.3,37.8
Jammu and Kashmir,62.5,67.7,43.8
Jharkhand,96.1,102.9,69.2
Karnataka,65.8,70.3,58.2
Kerala,54.2,55.2,51.3
Madhya Pradesh,103.4,113,71.9
Maharashtra,61.6,66.6,55.5
Odisha,72.6,76.5,50.2
Punjab,59.9,62.2,56.2
Rajasthan,102.1,108.9,81.8
Tamil Nadu,56.4,58.2,54.2
Uttar Pradesh,109.3,115.1,86.6
West Bengal,57.9,65,39.4
India,81.2,88.9,62
