States,2009-2010,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Chattisgarh,109.953,113.825,113.958,117.83,127.095,134.764,130.605,138.525,142.546,161.893,157.744
Jharkhand,105.917,108.949,109.566,111.274,113.091,124.143,121.067,126.435,123.297,134.666,131.763
Odisha,106.409,102.565,105.476,110.132,112.917,123.627,138.461,139.359,143.328,144.312,143.016
Madhya Pradesh,74.074,71.104,71.123,75.948,75.59,87.609,107.714,105.013,112.127,118.661,125.726
Jammu and Kashmir,0.023,0.023,0.02,0.019,0.019,0.013,0.013,0.01,0.014,0.013,0.014
Maharashtra,41.005,39.336,39.159,39.134,37.223,38.257,38.351,40.559,42.219,49.818,54.746
West Bengal,23.133,21.659,24.23,26.467,28.244,29.97,25.751,27.667,29.24,33.136,33.614
Uttar Pradesh,13.968,15.526,16.178,16.09,14.721,14.957,12.689,16.056,18.309,20.275,18.03
Meghalaya ,5.767,6.974,7.206,5.64,5.732,2.524,3.712,2.308,1.529,0,0
Assam,1.113,1.101,0.602,0.605,0.664,0.779,0.487,0.6,0.781,0.784,0.517
